Country Name;1960.0;1961.0;1962.0;1963.0;1964.0;1965.0;1966.0;1967.0;1968.0;1969.0;1970.0;1971.0;1972.0;1973.0;1974.0;1975.0;1976.0;1977.0;1978.0;1979.0;1980.0;1981.0;1982.0;1983.0;1984.0;1985.0;1986.0;1987.0;1988.0;1989.0;1990.0;1991.0;1992.0;1993.0;1994.0;1995.0;1996.0;1997.0;1998.0;1999.0;2000.0;2001.0;2002.0;2003.0;2004.0;2005.0;2006.0;2007.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0
Aruba;64.15;64.54;64.75;65.13;65.29;65.5;66.06;66.44;66.76;67.17;67.58;67.97;68.58;69.09;69.5;69.76;70.03;70.26;70.49;70.78;71.07;71.72;71.96;72.11;72.25;72.39;72.46;72.79;73.05;73.02;73.08;73.1;73.18;73.22;73.27;73.35;73.45;73.45;73.49;73.56;73.57;73.65;73.73;73.75;73.58;73.81;74.03;74.21;74.15;74.56;75.4;75.47;75.53;75.64;75.6;75.68;75.62;75.9;76.07;76.25;75.72;74.63
Africa Eastern and Southern;44.09;44.39;44.75;44.91;45.48;45.5;45.25;45.92;46.22;46.43;46.72;47.19;46.9;47.69;47.6;47.76;48.35;48.64;48.76;49.26;49.64;50.06;50.3;48.7;48.65;49.01;49.64;50.08;49.36;50.68;50.61;50.39;49.96;50.27;50.88;51.0;50.81;50.97;50.33;51.24;51.96;52.19;52.54;53.02;53.55;54.22;55.15;55.93;56.68;57.62;58.41;59.29;60.05;60.71;61.34;61.86;62.44;62.92;63.37;63.76;63.31;62.45
Afghanistan;32.53;33.07;33.55;34.02;34.49;34.95;35.45;35.92;36.42;36.91;37.42;37.92;38.44;39.0;39.55;40.1;40.65;41.23;40.27;39.09;39.62;40.16;37.77;38.19;33.33;33.55;39.4;39.84;43.96;45.16;45.97;46.66;47.6;51.47;51.49;52.54;53.24;53.63;52.94;54.85;55.3;55.8;56.45;57.34;57.94;58.36;58.68;59.11;59.85;60.36;60.85;61.42;61.92;62.42;62.55;62.66;63.14;63.02;63.08;63.56;62.58;61.98
Africa Western and Central;37.85;38.16;38.74;39.06;39.34;39.62;39.84;39.47;40.09;40.35;41.03;41.56;42.25;42.86;43.5;44.2;45.0;45.72;46.27;46.67;47.02;47.3;47.53;47.79;47.93;48.02;48.07;48.24;48.51;48.69;48.65;48.66;48.74;48.83;48.68;48.78;48.91;49.08;49.33;49.75;50.22;50.57;50.93;51.4;51.82;52.34;52.83;53.25;53.64;54.16;54.55;55.01;55.34;55.67;55.92;56.2;56.58;56.89;57.19;57.56;57.23;56.99
Angola;38.21;37.27;37.54;37.82;38.13;38.49;38.76;39.09;39.48;39.83;40.19;40.55;40.91;41.27;41.65;41.19;41.16;41.44;41.83;42.17;42.45;42.77;43.05;42.09;42.35;42.65;42.84;40.92;41.55;41.77;41.89;43.81;42.21;42.1;43.42;45.85;46.03;46.31;45.06;45.39;46.02;46.59;47.39;49.62;50.59;51.57;52.37;53.64;54.63;55.75;56.73;57.6;58.62;59.31;60.04;60.66;61.09;61.68;62.14;62.45;62.26;61.64
Albania;54.44;55.63;56.67;57.84;58.98;60.02;61.0;61.97;62.95;63.92;64.82;65.62;66.42;67.14;67.77;68.33;68.7;69.12;69.31;69.58;70.48;70.73;71.02;71.3;71.5;71.66;71.95;72.35;72.64;72.88;73.14;73.38;73.72;73.94;74.13;74.36;74.59;73.9;74.99;75.18;75.4;75.64;75.89;76.14;76.38;76.62;76.82;77.55;77.65;77.78;77.94;78.09;78.06;78.12;78.41;78.64;78.86;79.05;79.18;79.28;76.99;76.46
Andorra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;44.97;45.68;46.12;46.97;47.9;48.23;48.46;48.91;49.45;49.82;50.35;51.3;51.86;52.54;53.19;53.71;54.05;55.36;56.11;56.83;57.3;57.69;58.05;58.79;59.48;60.22;61.22;61.17;60.61;62.48;62.93;63.18;63.47;64.46;65.5;65.35;65.72;65.99;65.81;66.88;67.3;67.63;67.94;67.86;67.9;68.16;68.57;68.93;69.29;69.81;70.04;70.26;70.18;70.2;70.49;70.76;70.94;71.43;71.63;71.84;70.92;70.81
United Arab Emirates;48.81;49.7;50.69;51.58;52.85;53.98;55.19;56.34;57.54;58.76;60.02;61.21;62.3;63.35;64.34;65.08;65.82;66.51;67.21;67.85;68.53;69.08;69.66;69.95;70.48;70.75;70.96;71.49;71.61;71.76;71.9;72.24;72.31;72.52;72.6;72.69;72.77;72.94;73.07;73.67;74.38;74.64;74.9;76.22;76.45;76.68;76.91;77.13;77.49;78.0;78.33;78.52;78.72;78.85;79.04;79.22;79.33;79.5;79.63;79.73;78.95;78.71
Argentina;63.98;64.36;64.24;64.45;64.36;64.59;64.89;64.99;64.89;64.86;65.59;65.54;65.92;66.32;66.56;67.08;67.23;67.86;68.2;68.49;68.56;68.98;68.94;69.27;69.19;69.65;70.12;70.56;71.05;71.42;71.78;72.32;72.43;72.56;73.17;73.13;73.31;73.09;73.47;73.72;73.93;74.19;74.41;74.08;74.86;75.14;75.43;75.01;75.64;75.94;75.72;76.12;76.47;76.49;76.75;76.76;76.31;76.83;77.0;77.28;75.89;75.39
Armenia;61.43;61.8;62.12;62.22;62.42;62.75;62.95;63.21;63.33;63.66;63.87;64.21;64.53;64.61;64.83;64.96;65.16;65.36;65.7;66.04;66.18;66.58;66.89;67.19;67.51;67.93;68.18;68.09;53.9;68.7;68.82;68.64;68.63;68.84;69.07;69.31;69.78;69.91;70.51;70.26;70.62;70.93;71.02;71.44;71.42;71.79;71.99;72.33;72.4;72.81;73.16;73.31;73.45;73.68;74.06;74.44;74.66;74.91;75.06;75.44;72.17;72.04
American Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;61.55;62.36;63.19;64.1;65.06;66.03;66.96;67.86;68.67;69.53;70.06;70.68;71.02;71.35;71.75;71.98;72.36;72.55;72.87;73.03;73.18;73.34;73.46;73.47;73.52;73.57;73.56;73.55;73.53;73.42;73.49;73.44;73.42;73.48;73.59;73.64;73.83;73.96;74.04;74.35;74.61;75.08;75.54;75.48;75.67;75.83;75.77;76.13;76.41;76.67;76.82;77.1;77.35;77.58;77.86;77.91;78.15;78.27;78.51;78.69;78.84;78.5
Australia;70.82;70.97;70.94;70.91;70.88;70.85;70.82;70.87;70.92;70.97;71.02;71.07;71.46;71.85;72.24;72.63;73.01;73.34;73.67;74.0;74.33;74.66;74.9;75.15;75.39;75.63;75.87;76.15;76.43;76.71;76.99;77.28;77.38;77.88;77.88;77.83;78.08;78.48;78.63;78.93;79.23;79.63;79.94;80.24;80.49;80.84;81.04;81.29;81.4;81.54;81.7;81.9;82.05;82.15;82.3;82.4;82.45;82.5;82.75;82.9;83.2;83.3
Austria;68.59;69.58;69.31;69.44;69.92;69.72;70.05;69.92;70.06;69.83;69.91;70.11;70.46;71.01;71.01;71.11;71.57;71.91;72.01;72.31;72.46;72.81;72.96;73.01;73.61;73.81;74.32;74.77;75.22;75.27;75.57;75.62;75.82;76.07;76.42;76.67;76.87;77.32;77.67;77.88;78.13;78.58;78.68;78.63;79.18;79.33;79.88;80.18;80.43;80.33;80.58;80.98;80.94;81.14;81.49;81.19;81.64;81.64;81.69;81.9;81.19;81.24
Azerbaijan;55.84;56.19;56.52;56.9;57.2;57.62;57.67;57.97;58.37;58.6;59.02;59.35;59.8;60.05;60.23;60.34;60.52;60.63;60.71;60.87;61.08;61.29;61.45;61.96;61.96;62.09;62.19;62.57;62.73;62.58;62.35;62.05;61.3;61.29;61.59;62.3;62.62;62.97;63.56;64.19;64.89;65.51;66.24;66.76;67.35;67.56;68.17;68.6;68.81;69.36;69.53;69.98;70.36;70.88;71.12;71.45;72.0;72.25;72.76;73.1;66.87;69.37
